Perioden;Regio's;Gemiddelde verkoopprijs (euro)
1995;Aa en Hunze;
1996;Aa en Hunze;
1997;Aa en Hunze;
1998;Aa en Hunze;130136
1999;Aa en Hunze;159338
2000;Aa en Hunze;182830
2001;Aa en Hunze;216452
2002;Aa en Hunze;210945
2003;Aa en Hunze;205222
2004;Aa en Hunze;222208
2005;Aa en Hunze;231917
2006;Aa en Hunze;244657
2007;Aa en Hunze;265383
2008;Aa en Hunze;269367
2009;Aa en Hunze;227898
2010;Aa en Hunze;230392
2011;Aa en Hunze;236209
2012;Aa en Hunze;219111
2013;Aa en Hunze;213176
2014;Aa en Hunze;213509
2015;Aa en Hunze;241481
2016;Aa en Hunze;227275
2017;Aa en Hunze;241866
2018;Aa en Hunze;258980
2019;Aa en Hunze;284794
2020;Aa en Hunze;303789
2021;Aa en Hunze;393780
2022;Aa en Hunze;407982
2023;Aa en Hunze;411021
2024;Aa en Hunze;458471
1995;Aalburg;102023
1996;Aalburg;115362
1997;Aalburg;130831
1998;Aalburg;141027
1999;Aalburg;171212
2000;Aalburg;212336
2001;Aalburg;239708
2002;Aalburg;231182
2003;Aalburg;258579
2004;Aalburg;243096
2005;Aalburg;281099
2006;Aalburg;278193
2007;Aalburg;296221
2008;Aalburg;286518
2009;Aalburg;242576
2010;Aalburg;276192
2011;Aalburg;266466
2012;Aalburg;250662
2013;Aalburg;229378
2014;Aalburg;229823
2015;Aalburg;230525
2016;Aalburg;248188
2017;Aalburg;279988
2018;Aalburg;284120
2019;Aalburg;
2020;Aalburg;
2021;Aalburg;
2022;Aalburg;
2023;Aalburg;
2024;Aalburg;
1995;Aalsmeer;115081
1996;Aalsmeer;126116
1997;Aalsmeer;136515
1998;Aalsmeer;150441
1999;Aalsmeer;201630
2000;Aalsmeer;213742
2001;Aalsmeer;251666
2002;Aalsmeer;257608
2003;Aalsmeer;282494
2004;Aalsmeer;261497
2005;Aalsmeer;286247
2006;Aalsmeer;306764
2007;Aalsmeer;330582
2008;Aalsmeer;304057
2009;Aalsmeer;302299
2010;Aalsmeer;305355
2011;Aalsmeer;314737
2012;Aalsmeer;265452
2013;Aalsmeer;288004
2014;Aalsmeer;271638
2015;Aalsmeer;277057
2016;Aalsmeer;332572
2017;Aalsmeer;375983
2018;Aalsmeer;406960
2019;Aalsmeer;409304
2020;Aalsmeer;438060
2021;Aalsmeer;538786
2022;Aalsmeer;570707
2023;Aalsmeer;536574
2024;Aalsmeer;575924
1995;Aalten;90191
1996;Aalten;105185
1997;Aalten;96758
1998;Aalten;119551
1999;Aalten;114640
2000;Aalten;153334
2001;Aalten;147145
2002;Aalten;169135
2003;Aalten;167115
2004;Aalten;172198
2005;Aalten;187662
2006;Aalten;193997
2007;Aalten;200628
2008;Aalten;193222
2009;Aalten;193284
2010;Aalten;187353
2011;Aalten;189290
2012;Aalten;176637
2013;Aalten;159498
2014;Aalten;175272
2015;Aalten;168032
2016;Aalten;192007
2017;Aalten;206497
2018;Aalten;210100
2019;Aalten;226080
2020;Aalten;261776
2021;Aalten;306386
2022;Aalten;319641
2023;Aalten;318710
2024;Aalten;358565
1995;Ter Aar;128579
1996;Ter Aar;128587
1997;Ter Aar;155740
1998;Ter Aar;159988
1999;Ter Aar;219249
2000;Ter Aar;251576
2001;Ter Aar;266440
2002;Ter Aar;258324
2003;Ter Aar;239611
2004;Ter Aar;262765
2005;Ter Aar;254626
2006;Ter Aar;264752
2007;Ter Aar;
2008;Ter Aar;
2009;Ter Aar;
2010;Ter Aar;
2011;Ter Aar;
2012;Ter Aar;
2013;Ter Aar;
2014;Ter Aar;
2015;Ter Aar;
2016;Ter Aar;
2017;Ter Aar;
2018;Ter Aar;
2019;Ter Aar;
2020;Ter Aar;
2021;Ter Aar;
2022;Ter Aar;
2023;Ter Aar;
2024;Ter Aar;
1995;Aarle-Rixtel;118892
1996;Aarle-Rixtel;110107
1997;Aarle-Rixtel;
1998;Aarle-Rixtel;
1999;Aarle-Rixtel;
2000;Aarle-Rixtel;
2001;Aarle-Rixtel;
2002;Aarle-Rixtel;
2003;Aarle-Rixtel;
2004;Aarle-Rixtel;
2005;Aarle-Rixtel;
2006;Aarle-Rixtel;
2007;Aarle-Rixtel;
2008;Aarle-Rixtel;
2009;Aarle-Rixtel;
2010;Aarle-Rixtel;
2011;Aarle-Rixtel;
2012;Aarle-Rixtel;
2013;Aarle-Rixtel;
2014;Aarle-Rixtel;
2015;Aarle-Rixtel;
2016;Aarle-Rixtel;
2017;Aarle-Rixtel;
2018;Aarle-Rixtel;
2019;Aarle-Rixtel;
2020;Aarle-Rixtel;
2021;Aarle-Rixtel;
2022;Aarle-Rixtel;
2023;Aarle-Rixtel;
2024;Aarle-Rixtel;
1995;Abcoude;174475
1996;Abcoude;161604
1997;Abcoude;205076
1998;Abcoude;202595
1999;Abcoude;284734
2000;Abcoude;348015
2001;Abcoude;370588
2002;Abcoude;399958
2003;Abcoude;351704
2004;Abcoude;366841
2005;Abcoude;424482
2006;Abcoude;449208
2007;Abcoude;518993
2008;Abcoude;520749
2009;Abcoude;454085
2010;Abcoude;483105
2011;Abcoude;
2012;Abcoude;
2013;Abcoude;
2014;Abcoude;
2015;Abcoude;
2016;Abcoude;
2017;Abcoude;
2018;Abcoude;
2019;Abcoude;
2020;Abcoude;
2021;Abcoude;
2022;Abcoude;
2023;Abcoude;
2024;Abcoude;
1995;Achtkarspelen;61727
1996;Achtkarspelen;73472
1997;Achtkarspelen;80563
1998;Achtkarspelen;95810
1999;Achtkarspelen;109922
2000;Achtkarspelen;133915
2001;Achtkarspelen;153585
2002;Achtkarspelen;153570
2003;Achtkarspelen;159611
2004;Achtkarspelen;176705
2005;Achtkarspelen;182002
2006;Achtkarspelen;201098
2007;Achtkarspelen;199191
2008;Achtkarspelen;214001
2009;Achtkarspelen;183043
2010;Achtkarspelen;188733
2011;Achtkarspelen;188124
2012;Achtkarspelen;178073
2013;Achtkarspelen;152525
2014;Achtkarspelen;155891
2015;Achtkarspelen;174264
2016;Achtkarspelen;179055
2017;Achtkarspelen;184383
2018;Achtkarspelen;211426
2019;Achtkarspelen;216483
2020;Achtkarspelen;241065
2021;Achtkarspelen;295024
2022;Achtkarspelen;305540
2023;Achtkarspelen;319773
2024;Achtkarspelen;336113
1995;Akersloot;125204
1996;Akersloot;131277
1997;Akersloot;137146
1998;Akersloot;146720
1999;Akersloot;171308
2000;Akersloot;219702
2001;Akersloot;273854
2002;Akersloot;
2003;Akersloot;
2004;Akersloot;
2005;Akersloot;
2006;Akersloot;
2007;Akersloot;
2008;Akersloot;
2009;Akersloot;
2010;Akersloot;
2011;Akersloot;
2012;Akersloot;
2013;Akersloot;
2014;Akersloot;
2015;Akersloot;
2016;Akersloot;
2017;Akersloot;
2018;Akersloot;
2019;Akersloot;
2020;Akersloot;
2021;Akersloot;
2022;Akersloot;
2023;Akersloot;
2024;Akersloot;
1995;Alblasserdam;76663
1996;Alblasserdam;97615
1997;Alblasserdam;102416
1998;Alblasserdam;110649
1999;Alblasserdam;133865
2000;Alblasserdam;146283
2001;Alblasserdam;172244
2002;Alblasserdam;182776
2003;Alblasserdam;197255
2004;Alblasserdam;204159
2005;Alblasserdam;203787
2006;Alblasserdam;209694
2007;Alblasserdam;225699
2008;Alblasserdam;226449
2009;Alblasserdam;221303
2010;Alblasserdam;229507
2011;Alblasserdam;223250
2012;Alblasserdam;212680
2013;Alblasserdam;190876
2014;Alblasserdam;204392
2015;Alblasserdam;210548
2016;Alblasserdam;213289
2017;Alblasserdam;233036
2018;Alblasserdam;263854
2019;Alblasserdam;268447
2020;Alblasserdam;292610
2021;Alblasserdam;332755
2022;Alblasserdam;368461
2023;Alblasserdam;359952
2024;Alblasserdam;358823
1995;Albrandswaard;116676
1996;Albrandswaard;130390
1997;Albrandswaard;150102
1998;Albrandswaard;147784
1999;Albrandswaard;156265
2000;Albrandswaard;184493
2001;Albrandswaard;242446
2002;Albrandswaard;241545
2003;Albrandswaard;245383
2004;Albrandswaard;253426
2005;Albrandswaard;273306
2006;Albrandswaard;303935
2007;Albrandswaard;291251
2008;Albrandswaard;300151
2009;Albrandswaard;289387
2010;Albrandswaard;283348
2011;Albrandswaard;266889
2012;Albrandswaard;287149
2013;Albrandswaard;246855
2014;Albrandswaard;264735
2015;Albrandswaard;267026
2016;Albrandswaard;290565
2017;Albrandswaard;326356
2018;Albrandswaard;351955
2019;Albrandswaard;361942
2020;Albrandswaard;375789
2021;Albrandswaard;452849
2022;Albrandswaard;493052
2023;Albrandswaard;468361
2024;Albrandswaard;547608
1995;Alkemade;118817
1996;Alkemade;140387
1997;Alkemade;154551
1998;Alkemade;175018
1999;Alkemade;185251
2000;Alkemade;234687
2001;Alkemade;254388
2002;Alkemade;277450
2003;Alkemade;291477
2004;Alkemade;240027
2005;Alkemade;239278
2006;Alkemade;318351
2007;Alkemade;271451
2008;Alkemade;320959
2009;Alkemade;
2010;Alkemade;
2011;Alkemade;
2012;Alkemade;
2013;Alkemade;
2014;Alkemade;
2015;Alkemade;
2016;Alkemade;
2017;Alkemade;
2018;Alkemade;
2019;Alkemade;
2020;Alkemade;
2021;Alkemade;
2022;Alkemade;
2023;Alkemade;
2024;Alkemade;
1995;Alkmaar;84638
1996;Alkmaar;91749
1997;Alkmaar;101826
1998;Alkmaar;111290
1999;Alkmaar;128127
2000;Alkmaar;141369
2001;Alkmaar;158305
2002;Alkmaar;178507
2003;Alkmaar;181514
2004;Alkmaar;185798
2005;Alkmaar;190238
2006;Alkmaar;203969
2007;Alkmaar;214349
2008;Alkmaar;219564
2009;Alkmaar;210024
2010;Alkmaar;211926
2011;Alkmaar;206264
2012;Alkmaar;201883
2013;Alkmaar;187931
2014;Alkmaar;195094
2015;Alkmaar;194809
2016;Alkmaar;214497
2017;Alkmaar;238071
2018;Alkmaar;262519
2019;Alkmaar;286883
2020;Alkmaar;313937
2021;Alkmaar;365446
2022;Alkmaar;399298
2023;Alkmaar;393418
2024;Alkmaar;381336
1995;Almelo;72108
1996;Almelo;75984
1997;Almelo;82409
1998;Almelo;90416
1999;Almelo;100990
2000;Almelo;120928
2001;Almelo;137626
2002;Almelo;148314
2003;Almelo;149677
2004;Almelo;155412
2005;Almelo;163863
2006;Almelo;174661
2007;Almelo;178376
2008;Almelo;172286
2009;Almelo;171564
2010;Almelo;172505
2011;Almelo;170489
2012;Almelo;171217
2013;Almelo;152775
2014;Almelo;164312
2015;Almelo;157127
2016;Almelo;169101
2017;Almelo;177040
2018;Almelo;191387
2019;Almelo;209973
2020;Almelo;222697
2021;Almelo;273244
2022;Almelo;293519
2023;Almelo;306698
2024;Almelo;313612
1995;Almere;92546
1996;Almere;102638
1997;Almere;108957
1998;Almere;112179
1999;Almere;134684
2000;Almere;157145
2001;Almere;170565
2002;Almere;188560
2003;Almere;197749
2004;Almere;196465
2005;Almere;197747
2006;Almere;208941
2007;Almere;215482
2008;Almere;223489
2009;Almere;209689
2010;Almere;205853
2011;Almere;205127
2012;Almere;192040
2013;Almere;180357
2014;Almere;188513
2015;Almere;194953
2016;Almere;206317
2017;Almere;240518
2018;Almere;272616
2019;Almere;294284
2020;Almere;330079
2021;Almere;390714
2022;Almere;439053
2023;Almere;424531
2024;Almere;460849
1995;Alphen aan den Rijn;100965
1996;Alphen aan den Rijn;112026
1997;Alphen aan den Rijn;116687
1998;Alphen aan den Rijn;125996
1999;Alphen aan den Rijn;146359
2000;Alphen aan den Rijn;181567
2001;Alphen aan den Rijn;198489
2002;Alphen aan den Rijn;203049
