"Perioden";"Regio's";"Inkomen en vermogen/Particuliere huishoudens excl. studenten (x 1 000)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Particuliere huishoudens excl. studenten (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Type: Eenpersoonshuishouden (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Type: Eenoudergezin (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Type: Paar, zonder kind (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Type: Paar, met kind(eren) (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Bron: Inkomen als werknemer (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Bron: Inkomen als zelfstandige (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Bron: Overdrachtsinkomen (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Woningbezit: eigen woning (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Woningbezit: huurwoning (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Particuliere huishoudens excl. studenten (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Type: Eenpersoonshuishouden (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Type: Eenoudergezin (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Type: Paar, zonder kind (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Type: Paar, met kind(eren) (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Bron: Inkomen als werknemer (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Bron: Inkomen als zelfstandige (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Bron: Overdrachtsinkomen (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Woningbezit: eigen woning (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Woningbezit: huurwoning (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Particuliere huishoudens excl. studenten (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Type: Eenpersoonshuishouden (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Type: Eenoudergezin (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Type: Paar, zonder kind (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Type: Paar, met kind(eren) (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Bron: Inkomen als werknemer (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Bron: Inkomen als zelfstandige (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Bron: Overdrachtsinkomen (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Woningbezit: eigen woning (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Woningbezit: huurwoning (1 000 euro)"
"1995";"Aa en Hunze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1996";"Aa en Hunze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1997";"Aa en Hunze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1998";"Aa en Hunze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1999";"Aa en Hunze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2000";"Aa en Hunze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2001";"Aa en Hunze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2002";"Aa en Hunze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2003";"Aa en Hunze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2004";"Aa en Hunze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2005";"Aa en Hunze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2006";"Aa en Hunze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2007";"Aa en Hunze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2008";"Aa en Hunze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2009";"Aa en Hunze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2010";"Aa en Hunze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2011";"Aa en Hunze";"    11.1";"    38.5";"    21.7";"    31.4";"    40.5";"    52.2";"    45.2";"    54.8";"    27.8";"    44.4";"    23.2";"    26.6";"    21.7";"    21.7";"    29.6";"    28.1";"    29.0";"    34.7";"    22.3";"    29.9";"    18.3";"   128.6";"    41.1";"    39.2";"   199.6";"   116.2";"    87.7";"   249.5";"   174.3";"   202.4";"     7.0"
"2012";"Aa en Hunze";"    11.1";"    39.1";"    21.8";"    30.9";"    41.5";"    53.2";"    45.7";"    56.2";"    28.7";"    45.3";"    23.1";"    27.1";"    21.9";"    21.4";"    30.3";"    28.7";"    29.3";"    35.7";"    23.0";"    30.5";"    18.2";"   111.3";"    40.3";"    23.2";"   181.4";"    94.4";"    71.5";"   204.6";"   159.4";"   184.2";"     6.9"
"2013";"Aa en Hunze";"    11.1";"    39.3";"    22.0";"    31.8";"    41.8";"    53.8";"    46.2";"    55.4";"    29.1";"    45.5";"    23.2";"    27.3";"    22.0";"    21.9";"    30.6";"    29.0";"    29.7";"    35.3";"    23.3";"    30.8";"    18.3";"    84.3";"    35.9";"    14.0";"   154.9";"    63.1";"    42.7";"   169.9";"   130.6";"   151.4";"     5.7"
"2014";"Aa en Hunze";"    10.8";"    41.9";"    23.8";"    34.0";"    43.5";"    57.3";"    47.3";"    63.5";"    31.6";"    47.9";"    24.8";"    29.0";"    23.9";"    23.6";"    31.8";"    30.9";"    30.5";"    39.8";"    25.2";"    32.4";"    19.3";"    88.5";"    36.7";"    15.7";"   155.7";"    60.6";"    43.2";"   165.7";"   141.3";"   151.3";"     3.7"
"2015";"Aa en Hunze";"    10.8";"    41.6";"    23.9";"    33.7";"    43.5";"    56.7";"    49.3";"    55.3";"    30.7";"    47.6";"    24.6";"    28.9";"    23.9";"    23.5";"    31.8";"    30.6";"    31.8";"    35.2";"    24.6";"    32.3";"    19.3";"    93.8";"    39.0";"    15.3";"   160.6";"    67.4";"    49.5";"   164.8";"   143.4";"   159.7";"     4.3"
"2016";"Aa en Hunze";"    10.8";"    43.4";"    25.5";"    34.8";"    44.4";"    60.0";"    50.7";"    58.6";"    32.5";"    49.5";"    25.4";"    30.2";"    25.6";"    24.0";"    32.5";"    32.4";"    32.6";"    37.5";"    26.0";"    33.7";"    19.8";"   100.3";"    38.2";"    15.3";"   166.8";"    72.8";"    54.1";"   196.7";"   151.5";"   166.2";"     4.0"
"2017";"Aa en Hunze";"    10.9";"    44.6";"    24.9";"    35.6";"    46.2";"    63.3";"    51.4";"    66.2";"    32.9";"    51.3";"    25.7";"    31.0";"    25.0";"    24.6";"    33.8";"    34.1";"    33.1";"    42.2";"    26.2";"    34.7";"    20.1";"   109.0";"    40.3";"    21.4";"   178.4";"    83.5";"    60.7";"   190.1";"   158.1";"   176.4";"     3.9"
"2018";"Aa en Hunze";"    11.0";"    45.6";"    25.7";"    36.6";"    47.4";"    64.2";"    52.1";"    69.6";"    33.2";"    52.2";"    26.4";"    31.2";"    25.7";"    25.0";"    33.9";"    34.0";"    33.2";"    44.0";"    26.2";"    34.9";"    20.5";"   119.6";"    39.2";"    21.7";"   193.1";"    93.5";"    67.9";"   224.2";"   166.7";"   186.9";"     3.9"
"2019";"Aa en Hunze";"    11.1";"    47.6";"    26.2";"    38.7";"    48.9";"    69.1";"    54.2";"    75.7";"    34.1";"    54.8";"    26.7";"    32.5";"    26.2";"    26.3";"    35.0";"    36.6";"    34.5";"    47.7";"    27.0";"    36.5";"    20.9";"   128.6";"    44.8";"    40.4";"   208.7";"   106.6";"    77.4";"   251.0";"   183.1";"   199.4";"     4.0"
"2020";"Aa en Hunze";"    11.1";"    49.2";"    26.9";"    41.4";"    50.3";"    71.8";"    56.9";"    74.4";"    35.5";"    56.4";"    27.9";"    33.5";"    26.9";"    28.0";"    35.9";"    38.0";"    36.2";"    46.2";"    27.9";"    37.5";"    21.8";"   141.9";"    53.9";"    49.4";"   220.9";"   118.8";"    89.6";"   273.3";"   194.3";"   213.3";"     5.1"
"2021";"Aa en Hunze";"    11.1";"    51.8";"    28.0";"    42.8";"    53.5";"    75.3";"    59.3";"    79.7";"    37.6";"    59.3";"    29.0";"    35.3";"    28.0";"    29.1";"    38.3";"    39.8";"    37.7";"    50.0";"    29.5";"    39.5";"    22.7";"   171.0";"    74.5";"    63.6";"   249.9";"   150.8";"   115.1";"   301.4";"   225.6";"   243.3";"     7.1"
"2022";"Aa en Hunze";"    11.2";"    53.7";"    29.2";"    45.5";"    54.7";"    79.1";"    62.5";"    82.3";"    37.7";"    61.3";"    30.5";"    36.7";"    29.3";"    30.9";"    39.2";"    41.9";"    39.7";"    51.7";"    29.9";"    40.8";"    24.0";"   233.6";"   109.3";"    93.5";"   321.8";"   221.6";"   181.8";"   407.5";"   286.6";"   313.8";"     7.7"
"2023";"Aa en Hunze";"    11.3";"    57.0";"    30.9";"       .";"    58.3";"    84.1";"    67.5";"       .";"    40.1";"    65.0";"    33.3";"    38.9";"    30.9";"       .";"    41.7";"    44.5";"    42.7";"       .";"    31.9";"    43.3";"    26.0";"   238.4";"   119.4";"    71.7";"   325.6";"   226.0";"   182.5";"   410.6";"   283.2";"   315.0";"     7.3"
