"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)"
"1995";"Aa en Hunze";""
"1996";"Aa en Hunze";""
"1997";"Aa en Hunze";""
"1998";"Aa en Hunze";"      89"
"1999";"Aa en Hunze";"      89"
"2000";"Aa en Hunze";"      89"
"2001";"Aa en Hunze";"      91"
"2002";"Aa en Hunze";"      92"
"2003";"Aa en Hunze";"      91"
"2004";"Aa en Hunze";"      91"
"2005";"Aa en Hunze";"      91"
"2006";"Aa en Hunze";"      92"
"2007";"Aa en Hunze";"      92"
"2008";"Aa en Hunze";"      92"
"2009";"Aa en Hunze";"      93"
"2010";"Aa en Hunze";"      92"
"2011";"Aa en Hunze";"      93"
"2012";"Aa en Hunze";"      93"
"2013";"Aa en Hunze";"      92"
"2014";"Aa en Hunze";"      92"
"2015";"Aa en Hunze";"      91"
"2016";"Aa en Hunze";"      91"
"2017";"Aa en Hunze";"      92"
"2018";"Aa en Hunze";"      92"
"2019";"Aa en Hunze";"      92"
"2020";"Aa en Hunze";"      92"
"2021";"Aa en Hunze";"      92"
"2022";"Aa en Hunze";"      93"
"2023";"Aa en Hunze";"      93"
"2024";"Aa en Hunze";"      94"
"2025";"Aa en Hunze";""
"1995";"Aalburg";"     222"
"1996";"Aalburg";"     222"
"1997";"Aalburg";"     225"
"1998";"Aalburg";"     229"
"1999";"Aalburg";"     232"
"2000";"Aalburg";"     233"
"2001";"Aalburg";"     236"
"2002";"Aalburg";"     238"
"2003";"Aalburg";"     240"
"2004";"Aalburg";"     242"
"2005";"Aalburg";"     241"
"2006";"Aalburg";"     242"
"2007";"Aalburg";"     244"
"2008";"Aalburg";"     246"
"2009";"Aalburg";"     249"
"2010";"Aalburg";"     250"
"2011";"Aalburg";"     252"
"2012";"Aalburg";"     253"
"2013";"Aalburg";"     253"
"2014";"Aalburg";"     255"
"2015";"Aalburg";"     256"
"2016";"Aalburg";"     259"
"2017";"Aalburg";"     259"
"2018";"Aalburg";"     261"
"2019";"Aalburg";""
"2020";"Aalburg";""
"2021";"Aalburg";""
"2022";"Aalburg";""
"2023";"Aalburg";""
"2024";"Aalburg";""
"2025";"Aalburg";""
"1995";"Aalsmeer";"     965"
"1996";"Aalsmeer";"     973"
"1997";"Aalsmeer";"     974"
"1998";"Aalsmeer";"     988"
"1999";"Aalsmeer";"     984"
"2000";"Aalsmeer";"     984"
"2001";"Aalsmeer";"     993"
"2002";"Aalsmeer";"    1057"
"2003";"Aalsmeer";"    1106"
"2004";"Aalsmeer";"    1109"
"2005";"Aalsmeer";"    1128"
"2006";"Aalsmeer";"    1173"
"2007";"Aalsmeer";"    1216"
"2008";"Aalsmeer";"    1282"
"2009";"Aalsmeer";"    1367"
"2010";"Aalsmeer";"    1425"
"2011";"Aalsmeer";"    1477"
"2012";"Aalsmeer";"    1486"
"2013";"Aalsmeer";"    1501"
"2014";"Aalsmeer";"    1508"
"2015";"Aalsmeer";"    1524"
"2016";"Aalsmeer";"    1555"
"2017";"Aalsmeer";"    1559"
"2018";"Aalsmeer";"    1566"
"2019";"Aalsmeer";"    1577"
"2020";"Aalsmeer";"    1584"
"2021";"Aalsmeer";"    1590"
"2022";"Aalsmeer";"    1615"
"2023";"Aalsmeer";"    1645"
"2024";"Aalsmeer";"    1656"
"2025";"Aalsmeer";""
"1995";"Aalten";"     222"
"1996";"Aalten";"     223"
"1997";"Aalten";"     225"
"1998";"Aalten";"     227"
"1999";"Aalten";"     226"
"2000";"Aalten";"     226"
"2001";"Aalten";"     227"
"2002";"Aalten";"     227"
"2003";"Aalten";"     227"
"2004";"Aalten";"     229"
"2005";"Aalten";"     284"
"2006";"Aalten";"     285"
"2007";"Aalten";"     285"
"2008";"Aalten";"     285"
"2009";"Aalten";"     284"
"2010";"Aalten";"     285"
"2011";"Aalten";"     284"
"2012";"Aalten";"     283"
"2013";"Aalten";"     281"
"2014";"Aalten";"     280"
"2015";"Aalten";"     279"
"2016";"Aalten";"     279"
"2017";"Aalten";"     280"
"2018";"Aalten";"     279"
"2019";"Aalten";"     280"
"2020";"Aalten";"     281"
"2021";"Aalten";"     281"
"2022";"Aalten";"     281"
"2023";"Aalten";"     282"
"2024";"Aalten";"     283"
"2025";"Aalten";""
"1995";"Ter Aar";"     481"
"1996";"Ter Aar";"     480"
"1997";"Ter Aar";"     475"
"1998";"Ter Aar";"     473"
"1999";"Ter Aar";"     471"
"2000";"Ter Aar";"     468"
"2001";"Ter Aar";"     469"
"2002";"Ter Aar";"     469"
"2003";"Ter Aar";"     469"
"2004";"Ter Aar";"     465"
"2005";"Ter Aar";"     464"
"2006";"Ter Aar";"     464"
"2007";"Ter Aar";""
"2008";"Ter Aar";""
"2009";"Ter Aar";""
"2010";"Ter Aar";""
"2011";"Ter Aar";""
"2012";"Ter Aar";""
"2013";"Ter Aar";""
"2014";"Ter Aar";""
"2015";"Ter Aar";""
"2016";"Ter Aar";""
"2017";"Ter Aar";""
"2018";"Ter Aar";""
"2019";"Ter Aar";""
"2020";"Ter Aar";""
"2021";"Ter Aar";""
"2022";"Ter Aar";""
"2023";"Ter Aar";""
"2024";"Ter Aar";""
"2025";"Ter Aar";""
"1995";"Aarle-Rixtel";"     357"
"1996";"Aarle-Rixtel";"     356"
"1997";"Aarle-Rixtel";""
"1998";"Aarle-Rixtel";""
"1999";"Aarle-Rixtel";""
"2000";"Aarle-Rixtel";""
"2001";"Aarle-Rixtel";""
"2002";"Aarle-Rixtel";""
"2003";"Aarle-Rixtel";""
"2004";"Aarle-Rixtel";""
"2005";"Aarle-Rixtel";""
"2006";"Aarle-Rixtel";""
"2007";"Aarle-Rixtel";""
"2008";"Aarle-Rixtel";""
"2009";"Aarle-Rixtel";""
"2010";"Aarle-Rixtel";""
"2011";"Aarle-Rixtel";""
"2012";"Aarle-Rixtel";""
"2013";"Aarle-Rixtel";""
"2014";"Aarle-Rixtel";""
"2015";"Aarle-Rixtel";""
"2016";"Aarle-Rixtel";""
"2017";"Aarle-Rixtel";""
"2018";"Aarle-Rixtel";""
"2019";"Aarle-Rixtel";""
"2020";"Aarle-Rixtel";""
"2021";"Aarle-Rixtel";""
"2022";"Aarle-Rixtel";""
"2023";"Aarle-Rixtel";""
"2024";"Aarle-Rixtel";""
"2025";"Aarle-Rixtel";""
"1995";"Abcoude";"     265"
"1996";"Abcoude";"     264"
"1997";"Abcoude";"     266"
"1998";"Abcoude";"     277"
"1999";"Abcoude";"     281"
"2000";"Abcoude";"     280"
"2001";"Abcoude";"     280"
"2002";"Abcoude";"     281"
"2003";"Abcoude";"     283"
"2004";"Abcoude";"     284"
"2005";"Abcoude";"     283"
"2006";"Abcoude";"     285"
"2007";"Abcoude";"     285"
"2008";"Abcoude";"     286"
"2009";"Abcoude";"     286"
"2010";"Abcoude";"     288"
"2011";"Abcoude";""
"2012";"Abcoude";""
"2013";"Abcoude";""
"2014";"Abcoude";""
"2015";"Abcoude";""
"2016";"Abcoude";""
"2017";"Abcoude";""
"2018";"Abcoude";""
"2019";"Abcoude";""
"2020";"Abcoude";""
"2021";"Abcoude";""
"2022";"Abcoude";""
"2023";"Abcoude";""
"2024";"Abcoude";""
"2025";"Abcoude";""
"1995";"Achtkarspelen";"     272"
"1996";"Achtkarspelen";"     272"
"1997";"Achtkarspelen";"     273"
"1998";"Achtkarspelen";"     273"
"1999";"Achtkarspelen";"     273"
"2000";"Achtkarspelen";"     273"
"2001";"Achtkarspelen";"     273"
"2002";"Achtkarspelen";"     273"
"2003";"Achtkarspelen";"     274"
"2004";"Achtkarspelen";"     274"
"2005";"Achtkarspelen";"     274"
"2006";"Achtkarspelen";"     275"
"2007";"Achtkarspelen";"     274"
"2008";"Achtkarspelen";"     274"
"2009";"Achtkarspelen";"     274"
"2010";"Achtkarspelen";"     274"
"2011";"Achtkarspelen";"     275"
"2012";"Achtkarspelen";"     274"
"2013";"Achtkarspelen";"     275"
"2014";"Achtkarspelen";"     274"
"2015";"Achtkarspelen";"     274"
"2016";"Achtkarspelen";"     274"
"2017";"Achtkarspelen";"     273"
"2018";"Achtkarspelen";"     273"
"2019";"Achtkarspelen";"     272"
"2020";"Achtkarspelen";"     272"
"2021";"Achtkarspelen";"     273"
"2022";"Achtkarspelen";"     274"
"2023";"Achtkarspelen";"     275"
"2024";"Achtkarspelen";"     276"
"2025";"Achtkarspelen";""
"1995";"Akersloot";"     474"
"1996";"Akersloot";"     471"
"1997";"Akersloot";"     468"
"1998";"Akersloot";"     484"
"1999";"Akersloot";"     485"
"2000";"Akersloot";"     490"
"2001";"Akersloot";"     501"
"2002";"Akersloot";""
"2003";"Akersloot";""
"2004";"Akersloot";""
"2005";"Akersloot";""
"2006";"Akersloot";""
"2007";"Akersloot";""
"2008";"Akersloot";""
"2009";"Akersloot";""
"2010";"Akersloot";""
"2011";"Akersloot";""
"2012";"Akersloot";""
"2013";"Akersloot";""
"2014";"Akersloot";""
"2015";"Akersloot";""
"2016";"Akersloot";""
"2017";"Akersloot";""
"2018";"Akersloot";""
"2019";"Akersloot";""
"2020";"Akersloot";""
"2021";"Akersloot";""
"2022";"Akersloot";""
"2023";"Akersloot";""
"2024";"Akersloot";""
"2025";"Akersloot";""
"1995";"Alblasserdam";"    2007"
"1996";"Alblasserdam";"    2008"
"1997";"Alblasserdam";"    2023"
"1998";"Alblasserdam";"    2025"
"1999";"Alblasserdam";"    2052"
"2000";"Alblasserdam";"    2064"
"2001";"Alblasserdam";"    2090"
"2002";"Alblasserdam";"    2087"
"2003";"Alblasserdam";"    2097"
"2004";"Alblasserdam";"    2093"
"2005";"Alblasserdam";"    2089"
"2006";"Alblasserdam";"    2098"
"2007";"Alblasserdam";"    2126"
"2008";"Alblasserdam";"    2131"
"2009";"Alblasserdam";"    2144"
"2010";"Alblasserdam";"    2164"
"2011";"Alblasserdam";"    2186"
"2012";"Alblasserdam";"    2216"
"2013";"Alblasserdam";"    2239"
"2014";"Alblasserdam";"    2257"
"2015";"Alblasserdam";"    2262"
"2016";"Alblasserdam";"    2270"
"2017";"Alblasserdam";"    2276"
"2018";"Alblasserdam";"    2280"
"2019";"Alblasserdam";"    2286"
"2020";"Alblasserdam";"    2297"
"2021";"Alblasserdam";"    2294"
"2022";"Alblasserdam";"    2290"
"2023";"Alblasserdam";"    2320"
"2024";"Alblasserdam";"    2316"
"2025";"Alblasserdam";""
"1995";"Albrandswaard";"     679"
"1996";"Albrandswaard";"     687"
"1997";"Albrandswaard";"     684"
"1998";"Albrandswaard";"     690"
"1999";"Albrandswaard";"     709"
"2000";"Albrandswaard";"     736"
"2001";"Albrandswaard";"     794"
"2002";"Albrandswaard";"     811"
"2003";"Albrandswaard";"     845"
"2004";"Albrandswaard";"     884"
"2005";"Albrandswaard";"     929"
"2006";"Albrandswaard";"     952"
"2007";"Albrandswaard";"     973"
"2008";"Albrandswaard";"    1015"
"2009";"Albrandswaard";"    1054"
"2010";"Albrandswaard";"    1109"
"2011";"Albrandswaard";"    1128"
"2012";"Albrandswaard";"    1143"
"2013";"Albrandswaard";"    1151"
"2014";"Albrandswaard";"    1150"
"2015";"Albrandswaard";"    1153"
"2016";"Albrandswaard";"    1150"
"2017";"Albrandswaard";"    1155"
"2018";"Albrandswaard";"    1163"
"2019";"Albrandswaard";"    1165"
"2020";"Albrandswaard";"    1180"
"2021";"Albrandswaard";"    1190"
"2022";"Albrandswaard";"    1197"
"2023";"Albrandswaard";"    1217"
"2024";"Albrandswaard";"    1220"
"2025";"Albrandswaard";""
